Список плит по заказу;Использовано (с учётом резов) / остатки / обрезки
Заказ 3.31м×320мм: 6 шт;Плит 1200мм потребуется: 15 шт
Заказ 5.60м×320мм: 14 шт;Первичные резы: 2x(320мм+880мм); 4x(320мм+880мм); 1x(860мм+340мм); 8x(860мм+340мм)
Заказ 5.60м×860мм: 4 шт;Вторичные резы: 2x880мм->2x320мм; 1x880мм->2x320мм; 3x880мм->860мм; 8x340мм->320мм
Заказ 6.60м×860мм: 8 шт;
