Список плит по заказу;Использовано (с учётом резов) / остатки / обрезки
Заказ 2.80м×860мм: 4 шт;Плит 1200мм потребуется: 12 шт
Заказ 7.80м×1200мм: 8 шт;Первичные резы: 8x(1200мм+0мм); 4x(860мм+340мм)
