Список плит по заказу;Использовано (с учётом резов) / остатки / обрезки
Заказ 3.6мx320мм: 3 шт;Плит 1200мм потребуется: 11 шт
;Первичные резы: 10x(1200мм+0мм); 1x(320мм+880мм)
;Вторичные резы: 1x880мм->2x320мм
