Список плит по заказу;Использовано (с учётом резов) / остатки / обрезки
Заказ 4.25м×1200мм: 5 шт;Плит 1200мм потребуется: 7 шт
Заказ 5.85м×860мм: 2 шт;Первичные резы: 5x(1200мм+0мм); 2x(860мм+340мм)
