Список плит по заказу;Использовано (с учётом резов) / остатки / обрезки
Заказ 3.60м×320мм: 2 шт;Плит 1200мм потребуется: 12 шт
Заказ 6.20м×1200мм: 10 шт;Первичные резы: 10x(1200мм+0мм); 2x(320мм+880мм)
